alpha,min_area,open_size,close_size,AP50
4.0,1500,5,9,0.17067744254075826
4.0,1800,1,5,0.18484317212157717
4.0,1800,1,7,0.19215258796146628
4.0,1800,1,9,0.18426285072294726
4.0,1800,3,5,0.22493199494049074
4.0,1800,3,7,0.24095775270135822
4.0,1800,3,9,0.25876191102472673
4.0,1800,5,5,0.10567963838791035
4.0,1800,5,7,0.14760174521908911
4.0,1800,5,9,0.1750937898880303
4.0,2000,1,5,0.18727628843444166
4.0,2000,1,7,0.18779937502869193
4.0,2000,1,9,0.18315572667393845
4.0,2000,3,5,0.22443947828229435
4.0,2000,3,7,0.24067716016261045
4.0,2000,3,9,0.26099358715685206
4.0,2000,5,5,0.10847867612410615
4.0,2000,5,7,0.15023356605352706
4.0,2000,5,9,0.17716746866740057
4.0,2200,1,5,0.18508647340511156
4.0,2200,1,7,0.18908359323127244
4.0,2200,1,9,0.18359908335808187
4.0,2200,3,5,0.22758235356696566
4.0,2200,3,7,0.24366808387560088
4.0,2200,3,9,0.2573704175791739
4.0,2200,5,5,0.11252382041553279
4.0,2200,5,7,0.1539962832469357
4.0,2200,5,9,0.17955710371754532
4.0,2500,1,5,0.18754382669955966
4.0,2500,1,7,0.18418077086005483
4.0,2500,1,9,0.18474397522123523
4.0,2500,3,5,0.2312507048175944
4.0,2500,3,7,0.24884183573577456
4.0,2500,3,9,0.25485354929387477
4.0,2500,5,5,0.11453152073527728
4.0,2500,5,7,0.1590909913082824
4.0,2500,5,9,0.18129234348881376
